time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
123,-16,0.0628194,0.00139797,-0.0951989,-0.156777,0.300448,-0.270008,0.153019,-0.367222,-0.0905122,-0.083571,-0.302871,-0.0641013,0.0925847,-0.249579,0.275857,0.0797379
124.5,-14,0.0945986,-0.00459046,-0.0932233,-0.159815,0.293737,-0.283477,0.130361,-0.352442,-0.0605679,-0.122561,-0.285288,-0.0648463,0.089422,-0.249402,0.27094,0.0870278
126,26,0.103387,0.0120108,-0.105277,-0.124254,0.288966,-0.277323,0.131605,-0.352507,-0.0601242,-0.121896,-0.269666,-0.0782368,0.0968753,-0.22891,0.301936,0.0897728
127.5,31,0.12381,-0.00205726,-0.0806662,-0.140047,0.295578,-0.260818,0.120175,-0.32911,-0.0902849,-0.0875062,-0.239271,-0.111754,0.0739453,-0.265112,0.244823,0.0720189
129,13,0.102913,0.00376316,-0.0643008,-0.127769,0.307616,-0.298704,0.114649,-0.370852,-0.0846866,-0.0630388,-0.257693,-0.120056,0.0789525,-0.286891,0.29685,0.103358
130.5,-31,0.0781969,0.0246759,-0.127027,-0.115856,0.290804,-0.27014,0.0750564,-0.31586,-0.0459697,-0.0673438,-0.217001,-0.0857901,0.0796754,-0.256296,0.397513,0.0899693
132,-9,0.0754173,0.032268,-0.0964694,-0.135656,0.279225,-0.255136,0.0519724,-0.31807,-0.0756748,-0.0568766,-0.210223,-0.110204,0.070867,-0.250364,0.370513,0.0714325
133.5,78,0.0628355,0.0529036,-0.097636,-0.135047,0.310399,-0.293591,0.0125893,-0.33166,-0.0946135,-0.0633695,-0.225097,-0.0920284,0.0274159,-0.282514,0.351881,0.0688684
135,28,0.0812309,0.114756,-0.0818369,-0.115496,0.3032,-0.267626,0.0520072,-0.335821,-0.0511619,-0.0536927,-0.239088,-0.0915706,0.00428504,-0.244731,0.285522,0.0810611
136.5,17,0.0718912,0.099069,-0.081952,-0.119207,0.312447,-0.281072,0.0403155,-0.306022,-0.104359,-0.0410544,-0.223447,-0.100699,0.0309722,-0.292694,0.273972,0.106154
138,-28,0.0488867,0.104603,-0.0616859,-0.112181,0.322798,-0.252443,0.0176765,-0.284751,-0.065858,-0.034395,-0.221269,-0.109312,0.0400665,-0.246904,0.26216,0.0829456
139.5,245,0.0323538,0.0971836,-0.0530025,-0.0548932,0.325774,-0.245475,0.00379233,-0.311257,-0.019357,-0.0364564,-0.247944,-0.109113,0.0413148,-0.23937,0.373377,0.116626
141,-34,0.0145196,0.0865294,-0.0346254,-0.0787733,0.323125,-0.259831,0.0289443,-0.297786,-0.00650701,-0.0349718,-0.225771,-0.0997917,0.0405465,-0.270713,0.450803,0.0668044
142.5,-12,0.00507306,0.088638,-0.0573165,-0.0469974,0.348134,-0.225493,0.0485519,-0.306343,-0.0214482,-0.0412976,-0.221344,-0.091005,0.057722,-0.246819,0.477981,0.0757692
144,26,0.0226405,0.0559117,-0.0573689,-0.0702274,0.340713,-0.24498,0.019031,-0.305217,-0.0451859,-0.0465979,-0.213527,-0.0942272,0.0595169,-0.221502,0.484022,0.083456
145.5,31,0.0490526,0.0454077,-0.0501231,-0.0945896,0.319069,-0.256514,0.0500155,-0.340521,-0.0241399,-0.0360443,-0.216979,-0.0995121,0.101911,-0.251455,0.463957,0.0732024
147,16,0.0488398,0.0282339,-0.0634687,-0.0626717,0.350063,-0.258539,0.0800653,-0.353379,-0.0279627,-0.0271355,-0.227144,-0.140839,0.11316,-0.234569,0.465733,0.0952648
148.5,24,0.0333543,0.0223692,-0.0465597,-0.0612994,0.317593,-0.263233,0.0910989,-0.373527,-0.0154994,-0.0155812,-0.249198,-0.133513,0.124546,-0.211748,0.402158,0.082304
