time,value3,value1,value2
558,1,0.165878,-4.45872
559.5,29,0.120638,-4.43827
561,-45,0.136835,-4.32602
562.5,-23,0.0254123,-4.52652
564,-76,0.0787501,-4.49419
565.5,20,0.211396,-4.40301
567,-57,0.0625532,-4.31684
568.5,-8,0.104721,-4.48188
570,-70,0.134043,-4.43743
571.5,-21,0.228152,-4.42241
573,-42,0.0773538,-4.43743
574.5,-10,0.266968,-4.41407
576,-56,0.0904788,-4.41761
577.5,-34,0.104721,-4.49752
579,-27,0.0248537,-4.5259
580.5,-45,0.0161968,-4.45413
582,-92,0.109747,-4.41094
583.5,16,0.0589229,-4.39758
585,-4,0.13488,-4.34897
586.5,-84,0.38621,-4.4101
588,-51,0.198551,-4.47374
589.5,-79,0.121476,-4.44223
591,35,0.0268085,-4.47019
592.5,-87,0.0846144,-4.39341
594,39,0.0485905,-4.35335
595.5,-8,0.230944,-4.43848
597,-178,0.258591,-4.41261
598.5,-35,0.106955,-4.35356
600,-101,0.139348,-4.46977
601.5,111,0.197992,-4.39612
603,-16,0.149681,-4.38465
604.5,-15,0.0851729,-4.54426
606,-48,0.176769,-4.46581
607.5,-52,0.218099,-4.46435
609,-31,0.230107,-4.39821
610.5,2,-0.0100532,-4.40864
612,3,0.140745,-4.43743
613.5,-1,0.129575,-4.44703
615,-104,0.193803,-4.44641
616.5,31,0.211117,-4.34125
618,-31,0.150798,-4.44661
619.5,49,0.0519415,-4.4222
621,-22,0.184309,-4.5284
622.5,-21,0.206928,-4.46894
624,-86,0.0795878,-4.427
625.5,43,0.110585,-4.38256
627,-38,0.126503,-4.57723
628.5,10,0.148005,-4.42617
630,-39,0.186263,-4.47582
631.5,-2,0.0924336,-4.49022
633,-41,0.0941091,-4.49377
634.5,-39,0.0497075,-4.45454
636,-36,0.0703724,-4.52152
637.5,-32,0.0469149,-4.45371
639,29,0.144096,-4.4439
640.5,-89,0.0720479,-4.39967
642,-58,0.0245745,-4.47228
643.5,-17,0.0882447,-4.45872
645,-8,0.0952261,-4.35606
646.5,-81,0.231503,-4.41261
648,-29,0.189894,-4.39988
649.5,-58,0.242115,-4.4174
651,-25,0.111144,-4.38924
652.5,-47,0.254402,-4.46268
654,46,0.0980187,-4.43013
655.5,-138,0.235133,-4.46936
657,-38,0.0759575,-4.35961
658.5,-51,0.154708,-4.31433
660,-70,0.229548,-4.45162
661.5,92,0.223125,-4.40655
663,-74,0.0857314,-4.32539
664.5,-58,0.210838,-4.45329
666,-37,0.113098,-4.38965
667.5,-32,0.234854,-4.38486
669,-36,0.268923,-4.48292
670.5,12,0.148285,-4.39883
672,-13,0.0759575,-4.48062
673.5,-23,0.182633,-4.43055
675,-75,0.148005,-4.44912
676.5,27,0.262779,-4.44056
678,-38,0.285678,-4.49773
679.5,12,0.237367,-4.46977
681,-54,0.105279,-4.345
682.5,25,0.0709309,-4.42137
684,-85,0.241277,-4.42492
685.5,13,0.144934,-4.38799
687,-15,0.0161968,-4.44056
688.5,-3,0.124269,-4.50065
690,-35,0.0793086,-4.47728
691.5,-1,0.0865692,-4.47937
693,-18,0.0773538,-4.52319
694.5,-58,0.230386,-4.45225
696,11,0.223404,-4.42554
697.5,-31,0.267527,-4.39883
699,28,0.0167553,-4.54739
700.5,-88,0.0555718,-4.45559
702,-67,0.0913166,-4.37275
703.5,-40,0.119521,-4.48021
705,27,0.0457979,-4.46205
706.5,-64,0.126503,-4.3859
708,-11,0.126782,-4.3884
709.5,-94,0.284282,-4.4053
711,-15,0.0991357,-4.42512
712.5,-50,0.121476,-4.46664
714,10,0.118963,-4.5403
715.5,-105,0.0952261,-4.46873
717,-10,0.0717687,-4.44599
718.5,-57,0.222287,-4.46727
720,13,0.163644,-4.47082
721.5,-101,0.17621,-4.47666
723,21,0.142979,-4.57034
724.5,-21,0.0667421,-4.46059
726,-63,0.088524,-4.44787
727.5,-79,0.0605984,-4.4197
729,-38,0.0996942,-4.46059
730.5,-12,0.0832181,-4.44036
732,-35,0.0770745,-4.42658
733.5,-9,0.226755,-4.43931
735,-81,0.160572,-4.33436
736.5,7,-0.0681383,-4.50775
738,-43,0.192128,-4.45684
739.5,10,0.182354,-4.50086
741,-30,0.0807048,-4.44223
742.5,14,-0.0647873,-4.45079
744,-81,0.180958,-4.46998
745.5,55,0.146609,-4.42992
747,-52,0.0821011,-4.48041
748.5,65,0.108351,-4.40196
750,-10,0.0237367,-4.40802
751.5,-11,0.161968,-4.45496
753,-56,0.0466357,-4.49606
754.5,-41,0.262221,-4.4873
756,6,0.20246,-4.46977
757.5,7,0.0639495,-4.45267
759,-57,0.25887,-4.50483
760.5,-58,0.0807048,-4.46664
762,-31,0.0650665,-4.45204
763.5,10,0.234016,-4.39383
765,76,0.121476,-4.54009
766.5,-179,0.197992,-4.42345
768,43,0.136556,-4.47478
