time,value4,value1,value2,value3
337.5,-35,-0.0139711,-0.0274049,0.0593355
339,-25,-0.0171652,-0.0330411,0.0596305
340.5,8,0.00703385,-0.0294407,0.0520481
342,-9,0.00514415,-0.0194407,0.0411172
343.5,-44,-0.00419109,-0.00340733,0.0446737
345,-5,-0.0180823,-0.0012791,0.0422023
346.5,2,-0.0273118,-0.00467826,0.0357078
348,6,-0.0367237,-0.0153167,0.0406589
349.5,-40,-0.030876,-0.0180024,0.0468784
351,-2,-0.0156217,-0.00530251,0.0628348
352.5,-17,-0.0110486,0.00143083,0.0629512
354,-15,-0.0141028,0.00217263,0.0627316
355.5,-22,-0.0157252,-0.00111735,0.0629034
357,-2,-0.0244603,-0.0022645,0.0578285
358.5,-18,-0.024639,-0.00405789,0.0715948
360,-22,-0.0296113,0.0070714,0.0848318
361.5,-4,-0.0299188,0.0141473,0.0717226
363,36,-0.0421898,0.00629227,0.0707565
364.5,-28,-0.0216786,0.00484346,0.0547982
366,-34,-0.0166185,0.00673022,0.0590239
367.5,-16,-0.0269617,0.00150076,0.0465589
369,14,-0.01278,-0.00268282,0.0487838
370.5,-36,-0.010707,0.00261284,0.0461506
372,-28,-0.0200593,0.00193798,0.061349
373.5,9,-0.0228085,-0.00218074,0.0597472
375,9,-0.02834,-0.00806467,0.0574579
376.5,-1,-0.022672,-0.00561414,0.0642443
378,-31,-0.0347505,-0.010583,0.0611947
379.5,3,-0.0252891,-0.0147103,0.0622646
381,-47,-0.04177,-0.0206773,0.065275
382.5,10,-0.0340921,-0.0150189,0.0667451
384,-2,-0.0274186,-0.0188301,0.0502339
385.5,-9,-0.0143045,-0.0159398,0.0444265
387,-22,-0.0280082,-0.0178155,0.0503443
388.5,-4,-0.0383432,-0.0249508,0.0490669
390,-20,-0.0405747,-0.0278417,0.0467941
391.5,2,-0.0421667,-0.0305352,0.0502229
393,-21,-0.0225776,-0.0388958,0.0477189
394.5,0,-0.0224085,-0.0266621,0.0474183
396,-16,-0.0350708,-0.0238044,0.0517648
397.5,-9,-0.0260283,-0.0301989,0.0555547
399,-28,-0.0154139,-0.0250348,0.059768
400.5,-12,0.00708273,-0.0215126,0.0572662
402,-14,-0.00563439,-0.0122987,0.0605465
403.5,-8,-0.0120412,-0.0167302,0.0607731
405,-15,-0.00808761,-0.0176102,0.0592517
406.5,-22,-0.00135102,-0.0177051,0.0720036
408,5,0.0064529,-0.00940496,0.0671589
409.5,-21,0.00704575,-0.00862808,0.0685649
411,-10,0.012784,-0.00534148,0.0700373
412.5,-6,-0.00232902,-0.00655755,0.06847
414,-12,-0.0231605,-0.013584,0.0652702
415.5,-19,-0.020122,-0.0147125,0.0703204
417,-7,-0.00948148,-0.0279129,0.074569
418.5,-18,-0.0264195,-0.036303,0.0653541
420,5,-0.0360582,-0.0401977,0.0649666
421.5,-23,-0.0259489,-0.0332623,0.0494714
423,-3,-0.0252987,-0.0363184,0.0484033
424.5,-19,-0.0186936,-0.0310345,0.03702
426,2,-0.0232613,-0.0431025,0.0337511
427.5,-12,-0.0183676,-0.0463988,0.0267229
429,-3,-0.0206341,-0.0435533,0.0293706
430.5,-12,-0.0139477,-0.0366321,0.0290911
432,-7,-0.010144,-0.0320088,0.0259833
433.5,-17,-0.011544,-0.0293763,0.0372229
435,-6,-0.0258963,-0.0306968,0.051427
436.5,-1,-0.0135214,-0.036893,0.0490643
438,-22,-0.0088854,-0.0436775,0.0531511
439.5,-7,-0.000637049,-0.041224,0.0486019
441,-11,-0.0185713,-0.0498073,0.0638661
442.5,-17,-0.0123941,-0.0420541,0.0672512
444,-9,0.00500732,-0.0497861,0.0630442
445.5,-8,-0.0119792,-0.0439027,0.0551959
447,-12,-0.0248439,-0.0280025,0.0532262
448.5,-7,-0.0163498,-0.0167292,0.0466814
450,-29,-0.0183437,-0.0276606,0.0544416
451.5,6,0.00251734,-0.0258596,0.070588
453,-19,0.00268997,-0.0271601,0.0834009
454.5,-7,0.0026832,-0.0268298,0.0886126
456,-28,0.000166545,-0.0213877,0.0897935
457.5,-3,0.0124963,-0.0261715,0.0939004
459,-22,0.0149712,-0.0122566,0.101842
460.5,-8,0.00859644,-0.0100337,0.102879
462,-29,0.0104025,-0.0227611,0.12018
463.5,12,-0.00181951,-0.0316105,0.104067
465,-12,-0.00981031,-0.0370529,0.0942687
466.5,-46,-0.0197283,-0.0233222,0.091469
468,-40,-0.0224954,-0.0209041,0.0833567
469.5,85,-0.0162095,-0.0230814,0.10001
471,-18,-0.0276487,-0.0331993,0.102247
472.5,-21,-0.0411947,-0.03208,0.0872185
474,-8,-0.03793,-0.0238365,0.0914929
475.5,-77,-0.0303923,-0.0291204,0.0970669
477,47,-0.0183255,-0.0172047,0.0828659
478.5,-24,-0.0144672,-0.00942345,0.089644
480,11,-0.00862788,-0.00841443,0.089333
481.5,-1,0.00459145,-0.00753108,0.0957907
483,-63,-0.00859329,-0.0201118,0.0910186
484.5,16,-0.00590877,-0.0176504,0.0965832
486,92,-0.000187464,-0.024933,0.0764326
487.5,-42,-0.00193682,-0.0336907,0.0748372
489,-17,-0.0026119,-0.0299222,0.0841941
490.5,-49,0.00298125,-0.0195213,0.085529
492,0,-0.00345846,-0.0204142,0.0932687
493.5,-17,-0.00513313,-0.0164075,0.10224
495,26,-0.00603823,-0.0160957,0.10358
496.5,32,-0.00270569,-0.0150848,0.0950956
498,-108,-0.0163144,-0.0292006,0.085285
499.5,-31,-0.0090915,-0.0291856,0.0756295
501,48,-0.000270707,-0.0139445,0.0853144
502.5,3,-0.00156877,-0.0154197,0.0729079
504,-80,-0.00690531,-0.0029699,0.0572839
